Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,type
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
 15 , 5.8 , 4.0 , 1.2 , 0.2 , Iris-setosa , green 
 16 , 5.7 , 4.4 , 1.5 , 0.4 , Iris-setosa , green 
 33 , 5.2 , 4.1 , 1.5 , 0.1 , Iris-setosa , green 
 34 , 5.5 , 4.2 , 1.4 , 0.2 , Iris-setosa , green 
